FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187bdca2256_14ac,5334002,1128,Bischofstraße
strassennamen.fid--3213a59_187bdca2256_14ad,5334002,1129,Natternweg
strassennamen.fid--3213a59_187bdca2256_14ae,5334002,1131,Südweg
strassennamen.fid--3213a59_187bdca2256_14af,5334002,1133,Trappenweg
strassennamen.fid--3213a59_187bdca2256_14b0,5334002,1135,Tunnelweg
strassennamen.fid--3213a59_187bdca2256_14b1,5334002,1136,Blücherplatz
strassennamen.fid--3213a59_187bdca2256_14b2,5334002,1137,Simpelvelder Straße
strassennamen.fid--3213a59_187bdca2256_14b3,5334002,1138,Bodelschwinghstraße
strassennamen.fid--3213a59_187bdca2256_14b4,5334002,1139,Vossenweg
strassennamen.fid--3213a59_187bdca2256_14b5,5334002,1140,Bonifatiusweg
strassennamen.fid--3213a59_187bdca2256_14b6,5334002,1142,Borchersstraße
strassennamen.fid--3213a59_187bdca2256_14b7,5334002,1150,Breslauer Straße
strassennamen.fid--3213a59_187bdca2256_14b8,5334002,1151,Buchenallee
strassennamen.fid--3213a59_187bdca2256_14b9,5334002,1152,Buchkremerstraße
strassennamen.fid--3213a59_187bdca2256_14ba,5334002,1153,Büchel
strassennamen.fid--3213a59_187bdca2256_14bb,5334002,1154,Bungert
strassennamen.fid--3213a59_187bdca2256_14bc,5334002,1155,Bunsenstraße
strassennamen.fid--3213a59_187bdca2256_14bd,5334002,1156,Burggrafenstraße
strassennamen.fid--3213a59_187bdca2256_14be,5334002,1157,Brüggemannstraße
strassennamen.fid--3213a59_187bdca2256_14bf,5334002,1158,Brüsseler Ring
strassennamen.fid--3213a59_187bdca2256_14c0,5334002,1159,Brunssumstraße
strassennamen.fid--3213a59_187bdca2256_14c1,5334002,1160,Burtscheider Straße
strassennamen.fid--3213a59_187bdca2256_14c2,5334002,1161,Buschhäuserweg
strassennamen.fid--3213a59_187bdca2256_14c3,5334002,1162,Buschmühle
strassennamen.fid--3213a59_187bdca2256_14c4,5334002,1163,Carlasiedlung
strassennamen.fid--3213a59_187bdca2256_14c5,5334002,1164,César-Franck-Straße
strassennamen.fid--3213a59_187bdca2256_14c6,5334002,1165,Champierweg
strassennamen.fid--3213a59_187bdca2256_14c7,5334002,1167,Charles-de-Coster-Straße
strassennamen.fid--3213a59_187bdca2256_14c8,5334002,1168,Charlottenstraße
strassennamen.fid--3213a59_187bdca2256_14c9,5334002,1170,Chlodwigstraße
strassennamen.fid--3213a59_187bdca2256_14ca,5334002,1171,Claßenstraße
strassennamen.fid--3213a59_187bdca2256_14cb,5334002,1172,Clermontstraße
strassennamen.fid--3213a59_187bdca2256_14cc,5334002,1173,Colynshofstraße
strassennamen.fid--3213a59_187bdca2256_14cd,5334002,1174,Couvenstraße
strassennamen.fid--3213a59_187bdca2256_14ce,5334002,1176,Dachsbau
strassennamen.fid--3213a59_187bdca2256_14cf,5334002,1178,Dahlienweg
strassennamen.fid--3213a59_187bdca2256_14d0,5334002,1179,Dahmengraben
strassennamen.fid--3213a59_187bdca2256_14d1,5334002,1181,Damaschkestraße
strassennamen.fid--3213a59_187bdca2256_14d2,5334002,1183,Dammstraße
strassennamen.fid--3213a59_187bdca2256_14d3,5334002,1184,Danziger Straße
strassennamen.fid--3213a59_187bdca2256_14d4,5334002,1185,Dedolphstraße
strassennamen.fid--3213a59_187bdca2256_14d5,5334002,1187,Deliusstraße
strassennamen.fid--3213a59_187bdca2256_14d6,5334002,1189,Dennewartstraße
strassennamen.fid--3213a59_187bdca2256_14d7,5334002,1191,Diepenbenden
strassennamen.fid--3213a59_187bdca2256_14d8,5334002,1193,Dr.-Hahn-Straße
strassennamen.fid--3213a59_187bdca2256_14d9,5334002,1195,Dr.-Vitus-Metz-Straße
strassennamen.fid--3213a59_187bdca2256_14da,5334002,1197,Domhof
strassennamen.fid--3213a59_187bdca2256_14db,5334002,1199,Dresdener Straße
strassennamen.fid--3213a59_187bdca2256_14dc,5334002,1201,Driescher Gässchen
strassennamen.fid--3213a59_187bdca2256_14dd,5334002,1205,Drimbornstraße
